Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-04-27,26.149999618530273,26.799999237060547,25.649999618530273,25.899999618530273,25.114734649658203,35257,0.0,0.0
2012-04-30,26.0,26.899999618530273,26.0,26.5,25.696544647216797,16331,0.0,0.0
2012-05-02,26.200000762939453,27.049999237060547,26.149999618530273,26.350000381469727,25.55109214782715,24681,0.0,0.0
2012-05-03,26.75,26.75,25.5,25.600000381469727,24.82383155822754,26231,0.0,0.0
2012-05-04,25.5,25.899999618530273,24.200000762939453,24.600000381469727,23.854150772094727,34326,0.0,0.0
2012-05-07,24.200000762939453,26.5,23.549999237060547,26.149999618530273,25.357154846191406,80747,0.0,0.0
2012-05-08,26.5,27.100000381469727,25.149999618530273,25.25,24.48444175720215,46474,0.0,0.0
2012-05-09,25.0,25.25,23.350000381469727,23.850000381469727,23.126890182495117,74325,0.0,0.0
2012-05-10,25.299999237060547,25.299999237060547,23.100000381469727,23.350000381469727,22.64204978942871,70065,0.0,0.0
2012-05-11,23.200000762939453,24.0,22.75,23.649999618530273,22.932952880859375,68170,0.0,0.0
2012-05-14,23.149999618530273,23.950000762939453,22.200000762939453,22.799999237060547,22.10872459411621,57425,0.0,0.0
2012-05-15,22.25,22.399999618530273,20.850000381469727,21.700000762939453,21.042076110839844,107922,0.0,0.0
2012-05-16,21.25,22.899999618530273,21.049999237060547,22.549999237060547,21.866302490234375,62047,0.0,0.0
2012-05-17,22.75,22.75,21.799999237060547,21.950000762939453,21.284496307373047,27430,0.0,0.0
2012-05-18,21.5,21.899999618530273,20.899999618530273,21.149999618530273,20.508750915527344,49974,0.0,0.0
2012-05-21,21.149999618530273,21.600000381469727,21.0,21.299999237060547,20.65420150756836,44250,0.0,0.0
2012-05-22,21.5,22.350000381469727,21.149999618530273,22.0,21.332979202270508,59029,0.0,0.0
2012-05-23,21.899999618530273,22.75,21.299999237060547,22.549999237060547,21.866302490234375,75643,0.0,0.0
2012-05-24,22.549999237060547,27.049999237060547,22.149999618530273,27.049999237060547,26.229867935180664,812892,0.0,0.0
2012-05-25,27.600000381469727,30.350000381469727,27.600000381469727,28.799999237060547,27.926807403564453,671744,0.0,0.0
2012-05-28,28.799999237060547,30.299999237060547,27.200000762939453,27.649999618530273,26.811676025390625,196214,0.0,0.0
2012-05-29,27.299999237060547,27.950000762939453,26.399999618530273,26.700000762939453,25.890480041503906,102647,0.0,0.0
2012-05-30,26.700000762939453,27.200000762939453,25.75,26.75,25.938962936401367,87335,0.0,0.0
2012-05-31,27.0,27.0,26.200000762939453,26.799999237060547,25.987445831298828,34391,0.0,0.0
2012-06-01,27.399999618530273,27.399999618530273,24.600000381469727,24.950000762939453,24.193538665771484,43823,0.0,0.0
2012-06-04,24.5,24.950000762939453,23.600000381469727,24.0,23.272340774536133,59255,0.0,0.0
2012-06-05,24.049999237060547,24.950000762939453,24.049999237060547,24.75,23.999601364135742,19136,0.0,0.0
2012-06-06,24.299999237060547,29.200000762939453,24.299999237060547,26.700000762939453,25.890480041503906,213778,0.0,0.0
2012-06-07,27.950000762939453,27.950000762939453,26.100000381469727,26.350000381469727,25.55109214782715,36782,0.0,0.0
2012-06-08,26.0,26.350000381469727,25.5,26.100000381469727,25.308671951293945,52537,0.0,0.0
2012-06-11,26.5,28.399999618530273,26.299999237060547,27.0,26.18138313293457,112594,0.0,0.0
2012-06-12,26.5,27.200000762939453,25.100000381469727,27.100000381469727,26.278350830078125,59023,0.0,0.0
2012-06-13,26.850000381469727,27.649999618530273,26.0,26.149999618530273,25.357154846191406,27841,0.0,0.0
2012-06-14,26.149999618530273,26.5,25.0,25.299999237060547,24.53292465209961,76618,0.0,0.0
2012-06-15,25.5,26.200000762939453,25.25,25.899999618530273,25.114734649658203,37480,0.0,0.0
